Item,Value,Unit
Bathymetry point 1 distance,457.2,m
Bathymetry point 1 depth,5.79,m
Bathymetry point 2 distance,2027.8,m
Bathymetry point 2 depth,36.58,m
Bathymetry slope,0.019603973003947537,m/m
Bathymetry slope approx.,51.01006820396232,1:x
Distance to required depth,524.0231893471906,m
Perpendicular breakwater length,575.0,m
Depth at breakwater head/toe,8.099348019865019,m
Parallel breakwater length,400.0,m
Total preliminary breakwater length,975.0,m
