H0_m,s0,L0_m,T_s,h_m,L_m,Ks,bed_slope,slope_inv,beta0,beta1,beta_max,KsH0_m,depth_term_m,max_breaker_term_m,Hd_m,governing,Tr_year
5.589099355747127,0.04,139.72748389367817,9.460113561922931,8.099348019865019,79.1852755042409,0.998514304880696,0.019603973003947537,51.01006820396232,0.10051168718010985,0.564627091497558,0.92,5.580795658112988,5.1348811215463,5.141971407287357,5.1348811215463,Depth-limited breaking,10
8.041481644892848,0.04,201.0370411223212,11.347324440818705,8.099348019865019,96.86557480212686,1.0628527203800442,0.019603973003947537,51.01006820396232,0.10051168718010985,0.564627091497558,0.92,8.546910642160556,5.381374203038956,7.39816311330142,5.381374203038956,Depth-limited breaking,50
9.078239307956121,0.04,226.95598269890303,12.056638744083127,8.099348019865019,103.44121227157041,1.0875050098000105,0.019603973003947537,51.01006820396232,0.10051168718010985,0.564627091497558,0.92,9.872630727565662,5.4855804649503535,8.351980163319631,5.4855804649503535,Depth-limited breaking,100
