return_period_Tr_years,P_non_exceedance,Q_exceedance,gumbel_y_Tr,Hs_return_m
10,0.9,0.1,2.2503673273124454,5.589099379802374
50,0.98,0.02,3.9019386579358333,8.04148169110667
100,0.99,0.01,4.600149226776579,9.078239363537598
