year,Hs_m,rank_m,P_non_exceedance,Q_exceedance,gumbel_y,Hs_fit_m,fit_residual_m
2018,7.074669380865186,1,0.9734848484848485,0.02651515151515149,3.61663253474729,7.617836840387268,-0.5431674595220821
2024,6.235830873016001,2,0.9261363636363636,0.07386363636363635,2.5674130648897635,6.059873692901864,0.1759571801141364
2025,5.7799571092171815,3,0.8787878787878788,0.12121212121212122,2.04630289082695,5.286088540897573,0.49386856831960824
2014,5.059716367808176,4,0.8314393939393939,0.16856060606060608,1.6895809092180165,4.756399836855367,0.3033165309528085
2007,4.183988003467721,5,0.7840909090909092,0.21590909090909083,1.4137465072110458,4.346819338702881,-0.16283133523516025
2011,3.7029087439899246,6,0.7367424242424243,0.2632575757575757,1.1857500515385218,4.008272365548335,-0.3053636215584108
2008,3.368032946168188,7,0.6893939393939394,0.31060606060606055,0.9890162322030934,3.7161466004495725,-0.3481136542813843
2010,3.3662775537691028,8,0.6420454545454546,0.3579545454545454,0.8139684301846979,3.4562219303231085,-0.08994437655400578
2013,3.303180725943683,9,0.5946969696969697,0.4053030303030303,0.6544972114077161,3.2194265895229064,0.08375413642077678
2016,3.2257115651330945,10,0.5473484848484849,0.45265151515151514,0.5063861667644213,2.9994997239633565,0.22621184116973803
2020,3.138614239382081,11,0.5,0.5,0.36651292058166435,2.7918049859868685,0.3468092533952123
2017,3.110653229138359,12,0.45265151515151514,0.5473484848484849,0.23239530236545414,2.5926566546680205,0.5179965744703385
2005,2.923190548132628,13,0.4053030303030303,0.5946969696969697,0.10189954652201354,2.3988863479323475,0.5243042002002807
2015,2.2797694872411114,14,0.3579545454545454,0.6420454545454546,-0.0269819594462629,2.207513005691319,0.07225648154979236
2009,1.8660535367098416,15,0.31060606060606066,0.6893939393939393,-0.15634528923688998,2.0154242137466127,-0.1493706770367711
2021,1.5506461953026651,16,0.2632575757575758,0.7367424242424242,-0.28864836836914565,1.8189702520079032,-0.26832405670523807
2012,1.2154824910667203,17,0.21590909090909105,0.784090909090909,-0.4271599540366445,1.6132974140848388,-0.3978149230181185
2019,1.19284353952927,18,0.1685606060606062,0.8314393939393938,-0.5768717095671289,1.3909936877791202,-0.19815014824985022
2006,0.8349054089078826,19,0.12121212121212133,0.8787878787878787,-0.7467889852017818,1.1386872245795232,-0.30378181567164064
2023,0.6688316807918853,20,0.07386363636363646,0.9261363636363635,-0.9576378893016475,0.8256022774236331,-0.15677059663174786
2022,0.5123664027071577,21,0.026515151515151603,0.9734848484848484,-1.2892433793737264,0.33320850483543607,0.17915789787172165
